Product_Initial_Info,"Obrigado por entrar em contato para mais informações sobre este produto.
 A seguir estão links relevantes para esta consulta.
 [Informação do produto]
 Espero que isto ajude. Por favor, deixe-nos saber, se você precisar de informações mais ou específico.","Informações do produto, informação sobre produtos, planejamento de compra"
Product_Price,"Obrigado por entrar em contato em relação ao preço deste produto / serviço. Aqui estão os detalhes.
 [Info custo do produto]
 Espero que isto ajude. Por favor, deixe-nos saber, se você precisar de informações mais ou específico.","Custo, preço, taxas, imposto"
Product_PreSales,"Obrigado por entrar em contato em relação a comprar este produto.
 Aqui estão os detalhes.
 [Informação do produto de vendas]
 Espero que isto ajude. Por favor, deixe-nos saber, se você precisar de informações mais ou específico.","Pré-Venda Pergunta, Antes da compra, antes das vendas,"
Order_info,"Obrigado por entrar em contato em relação status do seu pedido produto.
 Aqui estão os detalhes.
 [Produtos Encomendar detalhes]
 Espero que isto ajude. Por favor, deixe-nos saber, se você precisar de informações mais ou específico.","Status do pedido, a fim Informações"
Product_Return,"Obrigado por entrar em contato no que diz respeito à sua consulta no retorno de pedidos de produtos.
 Aqui estão os detalhes.
 [Product Detalhes sobre retorno]
 Espero que isto ajude. Por favor, deixe-nos saber, se você precisar de informações mais ou específico.","Ordem de devolução, o transporte de volta,"
Product_Delivery_Status,"Obrigado por entrar em contato em relação entrega do seu pedido.
 Aqui estão os detalhes.
 [Product Status de Entrega Detalhes]
 Espero que isto ajude. Por favor, deixe-nos saber, se você precisar de informações mais ou específico.","Envio / entrega, entrega do produto,"
Vendor_Issue,Muito em ouvir que você está tendo problema com o nosso fornecedor. Estamos indagando sobre este incidente e irá atualizá-lo em breve.,questão fornecedor
Affiliate_Issue,Muito em ouvir que você está tendo problema com a nossa filial. Estamos indagando sobre este incidente e irá atualizá-lo em breve.,questão da filial
Product_Availability,"Obrigado por entrar em contato no que diz respeito à disponibilidade do produto.
 Aqui estão os detalhes.
 [Disponibilidade Detalhes do produto]
 Espero que isto ajude. Por favor, deixe-nos saber, se você precisar de informações mais ou específico.",Disponibilidade de produto
Technical_Issue,Muito em ouvir que o seu estão tendo estas questões técnicas. Estamos em processo de resolvê-los e nós entraremos em contato com você em breve.,"Problema técnico, não trabalhando,"
Product_Defective,Muito em ouvir que você recebeu este produto defeituoso. Estamos organizando pegar isso e vai voltar para você com mais status.,"Defeituoso, quebrado, mau funcionamento"
Order_Cancel_Request,Lamento ouvir isso deseja cancelar esta ordem. Estamos trabalhando para cancelar a encomenda. Irá atualizá-lo em breve sobre o seu estado.,"Cancelar meu pedido, cancelar a entrega do produto"
Product_Refund_Request,"Recebemos o seu pedido de reembolso. Aqui estão as atualizações sobre ele.
 [Atualização sobre Restituição]
 Espero que isto ajude. Por favor, deixe-nos saber, se você precisar de informações mais ou específico.",Restituição
Subscription_new,"Obrigado por entrar em contato no que diz respeito inscrição para o nosso serviço.
 Aqui estão os detalhes.
 [Serviço de Assinatura Detalhes]
 Espero que isto ajude. Por favor, deixe-nos saber de qualquer outro requisito ou preocupações.","Comece a minha assinatura, Assinar me,"
Subscription_Renewal,"Obrigado por entrar em contato no que diz respeito renovação da subscrição deste serviço.
 Aqui estão os detalhes.
 [Serviço de Assinatura Detalhes]
 Espero que isto ajude. Por favor, deixe-nos saber de qualquer outra exigência.",Renovação da inscrição
Service_Disruption,Muito em ouvir que você está enfrentando problema de interrupção do serviço. Estamos trabalhando nisso e vamos voltar para com a atualização mais específico em breve.,rompimento
