Product_Initial_Info,"Gracias por ponerse en contacto para obtener más información sobre este producto.
 Los siguientes son enlaces relevantes a esta consulta.
 [Información del producto]
 Espero que esto ayude. Por favor, háganos saber si necesita información más o específica.","La información del producto, información sobre productos, planificación para la compra"
Product_Price,"Gracias por ponerte en contacto en cuanto a precio de este producto / servicio. Aquí están los detalles.
 [Info costes del producto]
 Espero que esto ayude. Por favor, háganos saber si necesita información más o específica.","Coste, precio, cargos, impuestos"
Product_PreSales,"Gracias por ponerte en contacto en lo que respecta a adquirir este producto.
 Aquí están los detalles.
 [Producto de información de ventas]
 Espero que esto ayude. Por favor, háganos saber si necesita información más o específica.","Pre-Venta de preguntas, antes de la compra, antes de la venta,"
Order_info,"Gracias por ponerte en contacto en lo que respecta estado de su pedido de productos.
 Aquí están los detalles.
 [Detalles de pedidos del producto]
 Espero que esto ayude. Por favor, háganos saber si necesita información más o específica.","Estado del pedido, orden de Información"
Product_Return,"Gracias por ponerte en contacto en cuanto a la consulta a la entrega de los pedidos de productos.
 Aquí están los detalles.
 [Detalles de la vuelta del producto]
 Espero que esto ayude. Por favor, háganos saber si necesita información más o específica.","Pedido de devolución, el envío de vuelta,"
Product_Delivery_Status,"Gracias por ponerte en contacto en la entrega respecto de su orden.
 Aquí están los detalles.
 [Producto del estado de entrega detalles]
 Espero que esto ayude. Por favor, háganos saber si necesita información más o específica.","Envío / Entrega del producto,"
Vendor_Issue,Siento mucho lo que usted está teniendo problema con nuestro proveedor. Estamos investigando sobre este incidente y se actualizará en breve.,cuestión proveedor
Affiliate_Issue,Siento mucho lo que usted está teniendo problema con nuestro afiliado. Estamos investigando sobre este incidente y se actualizará en breve.,cuestión de afiliados
Product_Availability,"Gracias por ponerte en contacto en lo que respecta a la disponibilidad de este producto.
 Aquí están los detalles.
 [Disponibilidad del producto Detalles]
 Espero que esto ayude. Por favor, háganos saber si necesita información más o específica.",Disponibilidad de producto
Technical_Issue,Siento mucho lo que su están teniendo estos problemas técnicos. Estamos en proceso de resolver ellos y nos pondremos en contacto con usted en breve.,"Problema técnico, que no trabaja,"
Product_Defective,Siento mucho lo que ha recibido este producto defectuoso. Estamos tomando las medidas de recogida de esto y se pondrá en contacto con usted con más estatus.,"Defectuoso, roto, mal funcionamiento"
